model,backbone,view_weight,translation_weight,task,n_samples,test_rmse_mean,test_rmse_std,test_r2_mean,test_r2_std,train_r2_mean
baseline_transpolymer,transpolymer,,,Egc,3380,0.4396,0.0122,0.9208,0.0044,0.9878
baseline_transpolymer,transpolymer,,,Egb,561,0.5268,0.0461,0.9260,0.0112,0.9828
baseline_transpolymer,transpolymer,,,Eea,368,0.3088,0.0264,0.9186,0.0089,0.9738
baseline_transpolymer,transpolymer,,,Ei,370,0.4435,0.0403,0.7935,0.0260,0.9523
baseline_transpolymer,transpolymer,,,Xc,432,17.5657,1.2313,0.4311,0.1351,0.6920
baseline_transpolymer,transpolymer,,,EPS,382,0.5456,0.0720,0.7560,0.0277,0.9148
baseline_transpolymer,transpolymer,,,Nc,382,0.0994,0.0174,0.8219,0.0445,0.9286
baseline_transpolymer,transpolymer,,,Eat,390,0.0764,0.0315,0.9527,0.0314,0.9920
baseline_mmpolymer,mmpolymer,,,Egc,3380,0.4444,0.0142,0.9190,0.0050,0.9881
baseline_mmpolymer,mmpolymer,,,Egb,561,0.5312,0.0464,0.9248,0.0115,0.9814
baseline_mmpolymer,mmpolymer,,,Eea,368,0.3058,0.0325,0.9197,0.0159,0.9749
baseline_mmpolymer,mmpolymer,,,Ei,370,0.4377,0.0347,0.7978,0.0282,0.9439
baseline_mmpolymer,mmpolymer,,,Xc,432,18.0250,1.7084,0.4035,0.1280,0.8300
baseline_mmpolymer,mmpolymer,,,EPS,382,0.5520,0.0925,0.7492,0.0492,0.9178
baseline_mmpolymer,mmpolymer,,,Nc,382,0.0971,0.0163,0.8309,0.0386,0.9210
baseline_mmpolymer,mmpolymer,,,Eat,390,0.0791,0.0319,0.9496,0.0325,0.9927
baseline_random,random,,,Egc,3380,0.6003,0.0357,0.8521,0.0153,0.9632
baseline_random,random,,,Egb,561,0.6319,0.0516,0.8924,0.0216,0.9575
baseline_random,random,,,Eea,368,0.3508,0.0424,0.8936,0.0251,0.9280
baseline_random,random,,,Ei,370,0.4764,0.0277,0.7575,0.0495,0.8172
baseline_random,random,,,Xc,432,20.7037,0.7582,0.2195,0.1028,0.3789
baseline_random,random,,,EPS,382,0.5808,0.0761,0.7220,0.0454,0.7778
baseline_random,random,,,Nc,382,0.1042,0.0155,0.8044,0.0444,0.9036
baseline_random,random,,,Eat,390,0.0939,0.0079,0.9314,0.0096,0.9596
a10_targeted_mm_vw1p0_tw1p0,mmpolymer,1.0,1.0,Egc,3380,0.4321,0.0114,0.9235,0.0031,0.9918
a10_targeted_mm_vw1p0_tw1p0,mmpolymer,1.0,1.0,Egb,561,0.5260,0.0461,0.9252,0.0178,0.9822
a10_targeted_mm_vw1p0_tw1p0,mmpolymer,1.0,1.0,Eea,368,0.3159,0.0163,0.9143,0.0106,0.9753
a10_targeted_mm_vw1p0_tw1p0,mmpolymer,1.0,1.0,Ei,370,0.4258,0.0445,0.8104,0.0218,0.9436
a10_targeted_mm_vw1p0_tw1p0,mmpolymer,1.0,1.0,Xc,432,17.6606,1.2837,0.4264,0.1289,0.7558
a10_targeted_mm_vw1p0_tw1p0,mmpolymer,1.0,1.0,EPS,382,0.5180,0.0945,0.7804,0.0448,0.9095
a10_targeted_mm_vw1p0_tw1p0,mmpolymer,1.0,1.0,Nc,382,0.0944,0.0167,0.8409,0.0363,0.9402
a10_targeted_mm_vw1p0_tw1p0,mmpolymer,1.0,1.0,Eat,390,0.0759,0.0309,0.9536,0.0312,0.9926
a10_targeted_mm_vw1p0_tw2p0,mmpolymer,1.0,2.0,Egc,3380,0.4322,0.0216,0.9233,0.0070,0.9919
a10_targeted_mm_vw1p0_tw2p0,mmpolymer,1.0,2.0,Egb,561,0.5197,0.0322,0.9281,0.0084,0.9842
a10_targeted_mm_vw1p0_tw2p0,mmpolymer,1.0,2.0,Eea,368,0.3174,0.0272,0.9133,0.0153,0.9737
a10_targeted_mm_vw1p0_tw2p0,mmpolymer,1.0,2.0,Ei,370,0.4205,0.0454,0.8138,0.0321,0.9355
a10_targeted_mm_vw1p0_tw2p0,mmpolymer,1.0,2.0,Xc,432,17.5863,1.3696,0.4281,0.1388,0.7632
a10_targeted_mm_vw1p0_tw2p0,mmpolymer,1.0,2.0,EPS,382,0.5386,0.0712,0.7616,0.0296,0.9096
a10_targeted_mm_vw1p0_tw2p0,mmpolymer,1.0,2.0,Nc,382,0.0965,0.0165,0.8329,0.0392,0.9302
a10_targeted_mm_vw1p0_tw2p0,mmpolymer,1.0,2.0,Eat,390,0.0755,0.0264,0.9550,0.0250,0.9904
a10_targeted_mm_vw2p0_tw1p0,mmpolymer,2.0,1.0,Egc,3380,0.4393,0.0126,0.9208,0.0050,0.9823
a10_targeted_mm_vw2p0_tw1p0,mmpolymer,2.0,1.0,Egb,561,0.5312,0.0488,0.9245,0.0136,0.9783
a10_targeted_mm_vw2p0_tw1p0,mmpolymer,2.0,1.0,Eea,368,0.3142,0.0284,0.9152,0.0142,0.9791
a10_targeted_mm_vw2p0_tw1p0,mmpolymer,2.0,1.0,Ei,370,0.4181,0.0438,0.8157,0.0323,0.9283
a10_targeted_mm_vw2p0_tw1p0,mmpolymer,2.0,1.0,Xc,432,17.5940,0.7175,0.4297,0.1248,0.7696
a10_targeted_mm_vw2p0_tw1p0,mmpolymer,2.0,1.0,EPS,382,0.5194,0.0946,0.7807,0.0377,0.9211
a10_targeted_mm_vw2p0_tw1p0,mmpolymer,2.0,1.0,Nc,382,0.0957,0.0168,0.8365,0.0364,0.9379
a10_targeted_mm_vw2p0_tw1p0,mmpolymer,2.0,1.0,Eat,390,0.0776,0.0342,0.9507,0.0366,0.9937
a10_targeted_trans_vw1p0_tw1p0,transpolymer,1.0,1.0,Egc,3380,0.4375,0.0180,0.9215,0.0062,0.9908
a10_targeted_trans_vw1p0_tw1p0,transpolymer,1.0,1.0,Egb,561,0.5227,0.0292,0.9273,0.0077,0.9828
